Driver,f_result,points,Car,Laps,race,date,quali_result,Q1,Q2,Q3,quali_laps,fp3_result,fp3_time,fp3_gap,fp3_laps,fp2_result,fp2_time,fp2_gap,fp2_laps,fp1_result,fp1_time,fp1_gap,fp1_laps,year,winner
Felipe Massa MAS,18,0,Williams Mercedes,68,Hungary,2016-07-24,NA,1M 43.999S,NA,NA,7,11,1M 21.975S,1.714S,28,12,1M 22.681S,2.246S,39,12,1M 24.154S,2.807S,27,2016,0
Pascal Wehrlein WEH,19,0,MRT Mercedes,68,Hungary,2016-07-24,NA,1M 47.343S,NA,NA,9,21,1M 23.311S,3.05S,24,21,1M 23.992S,3.557S,22,21,1M 27.249S,5.902S,9,2016,0
Marcus Ericsson ERI,20,0,Sauber Ferrari,68,Hungary,2016-07-24,NA,1M 46.984S,NA,NA,5,20,1M 23.219S,2.958S,23,18,1M 23.437S,3.002S,36,15,1M 24.981S,3.634S,19,2016,0
Rio Haryanto HAR,21,0,MRT Mercedes,68,Hungary,2016-07-24,NA,1M 50.189S,NA,NA,9,22,1M 23.513S,3.252S,23,22,1M 24.265S,3.83S,36,20,1M 27.012S,5.665S,23,2016,0
Jenson Button BUT,NA,0,McLaren Honda,60,Hungary,2016-07-24,8,1M 37.983S,1M 24.456S,1M 21.597S,25,13,1M 22.009S,1.748S,11,8,1M 22.387S,1.952S,34,8,1M 23.961S,2.614S,18,2016,0
Lewis Hamilton HAM,1,25,Mercedes,67,Germany,2016-07-31,2,1M 15.243S,1M 14.748S,1M 14.47S,12,2,1M 15.795S,0.057S,19,2,1M 16.008S,0.394S,36,2,1M 15.843S,0.326S,30,2016,1
Daniel Ricciardo RIC,2,18,Red Bull Racing TAG Heuer,67,Germany,2016-07-31,3,1M 15.591S,1M 15.545S,1M 14.726S,14,3,1M 15.837S,0.099S,13,5,1M 16.49S,0.876S,38,6,1M 17.089S,1.572S,30,2016,0
Max Verstappen VER,3,15,Red Bull Racing TAG Heuer,67,Germany,2016-07-31,4,1M 15.875S,1M 15.124S,1M 14.834S,12,6,1M 16.182S,0.444S,23,4,1M 16.456S,0.842S,40,5,1M 16.927S,1.41S,29,2016,0
Nico Rosberg ROS,4,12,Mercedes,67,Germany,2016-07-31,1,1M 15.485S,1M 14.839S,1M 14.363S,12,1,1M 15.738S,0S,16,1,1M 15.614S,0S,43,1,1M 15.517S,0S,32,2016,0
Sebastian Vettel VET,5,10,Ferrari,67,Germany,2016-07-31,6,1M 15.927S,1M 15.63S,1M 15.315S,14,5,1M 16.104S,0.366S,20,3,1M 16.208S,0.594S,39,3,1M 16.667S,1.15S,29,2016,0
Kimi Räikkönen RAI,6,8,Ferrari,67,Germany,2016-07-31,5,1M 15.752S,1M 15.242S,1M 15.142S,12,4,1M 15.902S,0.164S,16,6,1M 16.512S,0.898S,45,4,1M 16.852S,1.335S,23,2016,0
Nico Hulkenberg HUL,7,6,Force India Mercedes,67,Germany,2016-07-31,7,1M 16.301S,1M 15.623S,1M 15.51S,15,10,1M 16.972S,1.234S,16,7,1M 16.781S,1.167S,43,15,1M 18.591S,3.074S,35,2016,0
Jenson Button BUT,8,4,McLaren Honda,66,Germany,2016-07-31,12,1M 16.172S,1M 15.909S,NA,14,19,1M 18.093S,2.355S,6,8,1M 17.087S,1.473S,16,8,1M 17.612S,2.095S,15,2016,0
Valtteri Bottas BOT,9,2,Williams Mercedes,66,Germany,2016-07-31,8,1M 15.952S,1M 15.49S,1M 15.53S,12,7,1M 16.4S,0.662S,28,13,1M 17.425S,1.811S,44,12,1M 18.21S,2.693S,37,2016,0
Sergio Perez PER,10,1,Force India Mercedes,66,Germany,2016-07-31,9,1M 16.169S,1M 15.5S,1M 15.537S,17,12,1M 17.066S,1.328S,10,9,1M 17.148S,1.534S,44,16,1M 18.628S,3.111S,29,2016,0
Esteban Gutierrez  GUT,11,0,Haas Ferrari,66,Germany,2016-07-31,11,1M 15.987S,1M 15.883S,NA,14,13,1M 17.16S,1.422S,17,16,1M 18.005S,2.391S,42,NA,NA,10S,NA,2016,0
Fernando Alonso ALO,12,0,McLaren Honda,66,Germany,2016-07-31,14,1M 16.338S,1M 16.041S,NA,11,9,1M 16.916S,1.178S,11,10,1M 17.225S,1.611S,21,7,1M 17.183S,1.666S,18,2016,0
Romain Grosjean GRO,13,0,Haas Ferrari,66,Germany,2016-07-31,15,1M 16.328S,1M 16.086S,NA,14,22,1M 25.16S,9.422S,4,14,1M 17.602S,1.988S,13,14,1M 18.589S,3.072S,20,2016,0
Carlos Sainz SAI,14,0,Toro Rosso Ferrari,66,Germany,2016-07-31,13,1M 16.317S,1M 15.989S,NA,12,11,1M 17.028S,1.29S,20,11,1M 17.342S,1.728S,32,10,1M 18.044S,2.527S,22,2016,0
Daniil Kvyat KVY,15,0,Toro Rosso Ferrari,66,Germany,2016-07-31,19,1M 16.876S,NA,NA,6,14,1M 17.227S,1.489S,19,12,1M 17.367S,1.753S,38,9,1M 18.008S,2.491S,25,2016,0
Kevin Magnussen MAG,16,0,Renault,66,Germany,2016-07-31,17,1M 16.716S,NA,NA,8,15,1M 17.351S,1.613S,9,17,1M 18.056S,2.442S,46,18,1M 18.933S,3.416S,35,2016,0
Pascal Wehrlein WEH,17,0,MRT Mercedes,65,Germany,2016-07-31,18,1M 16.717S,NA,NA,10,20,1M 18.27S,2.532S,24,19,1M 18.193S,2.579S,42,22,1M 19.975S,4.458S,33,2016,0
Marcus Ericsson ERI,18,0,Sauber Ferrari,65,Germany,2016-07-31,22,1M 17.238S,NA,NA,6,17,1M 17.685S,1.947S,19,18,1M 18.13S,2.516S,28,11,1M 18.198S,2.681S,28,2016,0
Jolyon Palmer PAL,19,0,Renault,65,Germany,2016-07-31,16,1M 16.636S,1M 16.665S,NA,14,16,1M 17.473S,1.735S,23,20,1M 18.313S,2.699S,47,NA,NA,10S,NA,2016,0
Rio Haryanto HAR,20,0,MRT Mercedes,65,Germany,2016-07-31,20,1M 16.977S,NA,NA,9,21,1M 18.272S,2.534S,18,21,1M 18.591S,2.977S,47,21,1M 19.167S,3.65S,34,2016,0
Felipe Nasr NAS,NA,0,Sauber Ferrari,57,Germany,2016-07-31,21,1M 17.123S,NA,NA,6,18,1M 18.057S,2.319S,24,22,1M 19.295S,3.681S,41,19,1M 18.961S,3.444S,22,2016,0
Felipe Massa MAS,NA,0,Williams Mercedes,36,Germany,2016-07-31,10,1M 16.503S,1M 15.699S,1M 15.615S,13,8,1M 16.63S,0.892S,26,15,1M 17.686S,2.072S,40,13,1M 18.322S,2.805S,33,2016,0
Nico Rosberg ROS,1,25,Mercedes,44,Belgium,2016-08-28,1,1M 48.019S,1M 46.999S,1M 46.744S,12,7,1M 48.742S,0.768S,19,6,1M 49.161S,1.076S,33,1,1M 48.348S,0S,27,2016,1
Daniel Ricciardo RIC,2,18,Red Bull Racing TAG Heuer,44,Belgium,2016-08-28,5,1M 48.407S,1M 48.027S,1M 47.216S,12,2,1M 48.189S,0.215S,18,2,1M 48.341S,0.256S,27,6,1M 49.782S,1.434S,24,2016,0
Lewis Hamilton HAM,3,15,Mercedes,44,Belgium,2016-08-28,21,1M 50.033S,NA,NA,4,5,1M 48.635S,0.661S,20,13,1M 49.782S,1.697S,33,2,1M 49.078S,0.73S,25,2016,0
Nico Hulkenberg HUL,4,12,Force India Mercedes,44,Belgium,2016-08-28,7,1M 48.08S,1M 47.317S,1M 47.543S,12,6,1M 48.739S,0.765S,12,3,1M 48.657S,0.572S,30,8,1M 50.088S,1.74S,21,2016,0
Sergio Perez PER,5,10,Force India Mercedes,44,Belgium,2016-08-28,6,1M 48.106S,1M 47.485S,1M 47.407S,12,9,1M 48.915S,0.941S,12,5,1M 49.1S,1.015S,27,4,1M 49.274S,0.926S,23,2016,0
Sebastian Vettel VET,6,8,Ferrari,44,Belgium,2016-08-28,4,1M 47.802S,1M 47.944S,1M 47.108S,14,3,1M 48.297S,0.323S,12,4,1M 49.023S,0.938S,27,5,1M 49.768S,1.42S,19,2016,0
Fernando Alonso ALO,7,6,McLaren Honda,44,Belgium,2016-08-28,NA,NA,NA,NA,1,11,1M 49.453S,1.479S,9,12,1M 49.772S,1.687S,30,22,NA,0S,3,2016,0
Valtteri Bottas BOT,8,4,Williams Mercedes,44,Belgium,2016-08-28,8,1M 48.655S,1M 47.918S,1M 47.612S,12,4,1M 48.504S,0.53S,17,16,1M 50.151S,2.066S,19,9,1M 50.394S,2.046S,31,2016,0
Kimi Räikkönen RAI,9,2,Ferrari,44,Belgium,2016-08-28,3,1M 47.912S,1M 47.664S,1M 46.91S,13,1,1M 47.974S,0S,11,7,1M 49.244S,1.159S,30,3,1M 49.147S,0.799S,24,2016,0
Felipe Massa MAS,10,1,Williams Mercedes,44,Belgium,2016-08-28,10,1M 47.738S,1M 47.667S,1M 48.263S,12,8,1M 48.783S,0.809S,21,17,1M 50.157S,2.072S,29,12,1M 51.122S,2.774S,28,2016,0
Max Verstappen VER,11,0,Red Bull Racing TAG Heuer,44,Belgium,2016-08-28,2,1M 48.407S,1M 47.163S,1M 46.893S,12,22,NA,0S,2,1,1M 48.085S,0S,27,7,1M 49.865S,1.517S,24,2016,0
Esteban Gutierrez  GUT,12,0,Haas Ferrari,44,Belgium,2016-08-28,13,1M 48.748S,1M 48.598S,NA,12,12,1M 49.631S,1.657S,16,10,1M 49.648S,1.563S,23,10,1M 50.583S,2.235S,21,2016,0
Romain Grosjean GRO,13,0,Haas Ferrari,44,Belgium,2016-08-28,11,1M 48.751S,1M 48.316S,NA,12,10,1M 49.272S,1.298S,16,8,1M 49.419S,1.334S,20,11,1M 50.899S,2.551S,18,2016,0
Daniil Kvyat KVY,14,0,Toro Rosso Ferrari,44,Belgium,2016-08-28,19,1M 49.058S,NA,NA,6,16,1M 50.023S,2.049S,9,14,1M 49.916S,1.831S,25,17,1M 52.308S,3.96S,19,2016,0
Jolyon Palmer PAL,15,0,Renault,44,Belgium,2016-08-28,14,1M 48.901S,1M 48.888S,NA,12,18,1M 50.241S,2.267S,11,20,1M 50.562S,2.477S,32,21,1M 53.089S,4.741S,20,2016,0
Esteban Ocon OCO,16,0,MRT Mercedes,43,Belgium,2016-08-28,18,1M 49.05S,NA,NA,7,20,1M 50.693S,2.719S,18,21,1M 50.659S,2.574S,25,16,1M 51.787S,3.439S,26,2016,0
Felipe Nasr NAS,17,0,Sauber Ferrari,43,Belgium,2016-08-28,17,1M 48.949S,NA,NA,6,19,1M 50.42S,2.446S,13,22,1M 50.719S,2.634S,24,15,1M 51.768S,3.42S,19,2016,0
Kevin Magnussen MAG,NA,0,Renault,5,Belgium,2016-08-28,12,1M 48.8S,1M 48.485S,NA,12,14,1M 49.716S,1.742S,11,19,1M 50.375S,2.29S,34,20,1M 53.053S,4.705S,20,2016,0
Marcus Ericsson ERI,NA,0,Sauber Ferrari,3,Belgium,2016-08-28,20,1M 49.071S,NA,NA,6,21,1M 51.319S,3.345S,5,15,1M 50.083S,1.998S,27,13,1M 51.125S,2.777S,16,2016,0
Carlos Sainz SAI,NA,0,Toro Rosso Ferrari,1,Belgium,2016-08-28,15,1M 48.876S,1M 49.038S,NA,9,17,1M 50.078S,2.104S,9,18,1M 50.194S,2.109S,25,14,1M 51.424S,3.076S,17,2016,0
Jenson Button BUT,NA,0,McLaren Honda,1,Belgium,2016-08-28,9,1M 48.7S,1M 48.051S,1M 48.114S,15,13,1M 49.665S,1.691S,10,9,1M 49.419S,1.334S,23,18,1M 52.407S,4.059S,18,2016,0
Pascal Wehrlein WEH,NA,0,MRT Mercedes,0,Belgium,2016-08-28,16,1M 48.554S,1M 49.32S,NA,11,15,1M 49.761S,1.787S,15,11,1M 49.716S,1.631S,31,19,1M 52.837S,4.489S,23,2016,0
Nico Rosberg ROS,1,25,Mercedes,53,Italy,2016-09-04,2,1M 22.497S,1M 21.809S,1M 21.613S,15,2,1M 22.401S,0.393S,17,2,1M 22.994S,0.193S,42,1,1M 22.959S,0S,37,2016,1
Lewis Hamilton HAM,2,18,Mercedes,53,Italy,2016-09-04,1,1M 21.854S,1M 21.498S,1M 21.135S,16,1,1M 22.008S,0S,14,1,1M 22.801S,0S,40,2,1M 23.162S,0.203S,36,2016,0
Sebastian Vettel VET,3,15,Ferrari,53,Italy,2016-09-04,3,1M 23.077S,1M 22.275S,1M 21.972S,13,3,1M 22.946S,0.938S,13,3,1M 23.254S,0.453S,33,4,1M 24.307S,1.348S,17,2016,0
Kimi Räikkönen RAI,4,12,Ferrari,53,Italy,2016-09-04,4,1M 23.217S,1M 22.568S,1M 22.065S,15,4,1M 23.149S,1.141S,12,4,1M 23.427S,0.626S,28,3,1M 24.047S,1.088S,16,2016,0
Daniel Ricciardo RIC,5,10,Red Bull Racing TAG Heuer,53,Italy,2016-09-04,6,1M 23.158S,1M 22.638S,1M 22.389S,17,7,1M 23.709S,1.701S,23,6,1M 24.003S,1.202S,33,10,1M 25.12S,2.161S,17,2016,0
Valtteri Bottas BOT,6,8,Williams Mercedes,53,Italy,2016-09-04,5,1M 23.264S,1M 22.499S,1M 22.388S,12,5,1M 23.5S,1.492S,20,8,1M 24.299S,1.498S,41,7,1M 24.785S,1.826S,37,2016,0
Max Verstappen VER,7,6,Red Bull Racing TAG Heuer,53,Italy,2016-09-04,7,1M 23.229S,1M 22.857S,1M 22.411S,15,8,1M 23.74S,1.732S,21,5,1M 23.732S,0.931S,25,8,1M 24.982S,2.023S,25,2016,0
Sergio Perez PER,8,4,Force India Mercedes,53,Italy,2016-09-04,8,1M 23.439S,1M 22.922S,1M 22.814S,15,9,1M 23.917S,1.909S,20,13,1M 24.653S,1.852S,42,5,1M 24.65S,1.691S,32,2016,0
Felipe Massa MAS,9,2,Williams Mercedes,53,Italy,2016-09-04,11,1M 23.489S,1M 22.967S,NA,10,6,1M 23.647S,1.639S,19,11,1M 24.556S,1.755S,20,14,1M 25.84S,2.881S,18,2016,0
Nico Hulkenberg HUL,10,1,Force India Mercedes,53,Italy,2016-09-04,9,1M 23.259S,1M 22.951S,1M 22.836S,18,11,1M 24.041S,2.033S,21,12,1M 24.587S,1.786S,40,NA,NA,10S,NA,2016,0
Romain Grosjean GRO,11,0,Haas Ferrari,52,Italy,2016-09-04,12,1M 23.421S,1M 23.092S,NA,14,14,1M 24.463S,2.455S,4,9,1M 24.516S,1.715S,35,6,1M 24.763S,1.804S,17,2016,0
Jenson Button BUT,12,0,McLaren Honda,52,Italy,2016-09-04,15,1M 23.666S,1M 23.399S,NA,13,12,1M 24.104S,2.096S,11,10,1M 24.549S,1.748S,28,11,1M 25.351S,2.392S,23,2016,0
Esteban Gutierrez  GUT,13,0,Haas Ferrari,52,Italy,2016-09-04,10,1M 23.386S,1M 22.856S,1M 23.184S,21,10,1M 24.034S,2.026S,15,14,1M 24.674S,1.873S,33,9,1M 25.113S,2.154S,19,2016,0
Fernando Alonso ALO,14,0,McLaren Honda,52,Italy,2016-09-04,13,1M 23.783S,1M 23.273S,NA,13,17,1M 24.658S,2.65S,12,7,1M 24.259S,1.458S,24,13,1M 25.507S,2.548S,14,2016,0
Carlos Sainz SAI,15,0,Toro Rosso Ferrari,52,Italy,2016-09-04,16,1M 23.661S,1M 23.496S,NA,12,13,1M 24.24S,2.232S,17,17,1M 25.24S,2.439S,31,16,1M 25.973S,3.014S,20,2016,0
Marcus Ericsson ERI,16,0,Sauber Ferrari,52,Italy,2016-09-04,19,1M 24.087S,NA,NA,7,16,1M 24.542S,2.534S,20,15,1M 24.981S,2.18S,25,15,1M 25.853S,2.894S,20,2016,0
Kevin Magnussen MAG,17,0,Renault,52,Italy,2016-09-04,21,1M 24.436S,NA,NA,9,19,1M 24.793S,2.785S,12,19,1M 25.555S,2.754S,39,22,1M 26.956S,3.997S,32,2016,0
Esteban Ocon OCO,18,0,MRT Mercedes,51,Italy,2016-09-04,NA,NA,NA,NA,2,22,1M 24.938S,2.93S,15,18,1M 25.275S,2.474S,13,18,1M 26.391S,3.432S,30,2016,0
Daniil Kvyat KVY,NA,0,Toro Rosso Ferrari,36,Italy,2016-09-04,17,1M 23.825S,NA,NA,9,20,1M 24.845S,2.837S,17,20,1M 25.614S,2.813S,33,17,1M 26.074S,3.115S,20,2016,0
Pascal Wehrlein WEH,NA,0,MRT Mercedes,26,Italy,2016-09-04,14,1M 23.76S,1M 23.315S,NA,14,21,1M 24.893S,2.885S,19,16,1M 25.083S,2.282S,38,20,1M 26.762S,3.803S,28,2016,0
Jolyon Palmer PAL,NA,0,Renault,7,Italy,2016-09-04,20,1M 24.23S,NA,NA,9,15,1M 24.533S,2.525S,13,22,1M 25.833S,3.032S,45,21,1M 26.811S,3.852S,35,2016,0
Felipe Nasr NAS,NA,0,Sauber Ferrari,6,Italy,2016-09-04,18,1M 23.956S,NA,NA,8,18,1M 24.715S,2.707S,19,21,1M 25.643S,2.842S,31,19,1M 26.439S,3.48S,21,2016,0
Nico Rosberg ROS,1,25,Mercedes,61,Singapore,2016-09-18,1,1M 45.316S,1M 43.02S,1M 42.584S,12,1,1M 44.352S,0S,15,1,1M 44.152S,0S,34,5,1M 46.513S,0.69S,22,2016,1
Daniel Ricciardo RIC,2,18,Red Bull Racing TAG Heuer,61,Singapore,2016-09-18,2,1M 44.255S,1M 43.933S,1M 43.115S,12,4,1M 44.903S,0.551S,12,4,1M 44.557S,0.405S,26,2,1M 45.872S,0.049S,27,2016,0
Lewis Hamilton HAM,3,15,Mercedes,61,Singapore,2016-09-18,3,1M 45.167S,1M 43.471S,1M 43.288S,12,8,1M 45.806S,1.454S,9,7,1M 45.275S,1.123S,10,4,1M 46.426S,0.603S,24,2016,0
Kimi Räikkönen RAI,4,12,Ferrari,61,Singapore,2016-09-18,5,1M 44.964S,1M 44.159S,1M 43.54S,12,3,1M 44.86S,0.508S,15,2,1M 44.427S,0.275S,34,6,1M 46.89S,1.067S,20,2016,0
Sebastian Vettel VET,5,10,Ferrari,61,Singapore,2016-09-18,22,1M 49.116S,NA,NA,4,5,1M 45.104S,0.752S,13,5,1M 45.161S,1.009S,33,3,1M 46.287S,0.464S,22,2016,0
Max Verstappen VER,6,8,Red Bull Racing TAG Heuer,61,Singapore,2016-09-18,4,1M 45.036S,1M 44.112S,1M 43.328S,12,2,1M 44.411S,0.059S,15,3,1M 44.532S,0.38S,29,1,1M 45.823S,0S,25,2016,0
Fernando Alonso ALO,7,6,McLaren Honda,61,Singapore,2016-09-18,9,1M 45.373S,1M 44.653S,1M 44.553S,15,12,1M 46.164S,1.812S,13,9,1M 45.779S,1.627S,30,11,1M 48.202S,2.379S,21,2016,0
Sergio Perez PER,8,4,Force India Mercedes,61,Singapore,2016-09-18,10,1M 45.204S,1M 44.703S,1M 44.582S,20,11,1M 46.112S,1.76S,15,11,1M 46.063S,1.911S,26,12,1M 48.214S,2.391S,28,2016,0
Daniil Kvyat KVY,9,2,Toro Rosso Ferrari,61,Singapore,2016-09-18,7,1M 45.291S,1M 44.475S,1M 44.469S,15,7,1M 45.503S,1.151S,19,10,1M 46.029S,1.877S,35,8,1M 47.683S,1.86S,29,2016,0
Kevin Magnussen MAG,10,1,Renault,61,Singapore,2016-09-18,17,1M 46.825S,NA,NA,9,15,1M 47.116S,2.764S,11,16,1M 47.161S,3.009S,30,18,1M 50.263S,4.44S,29,2016,0
Esteban Gutierrez  GUT,11,0,Haas Ferrari,60,Singapore,2016-09-18,14,1M 45.465S,1M 45.593S,NA,12,13,1M 46.316S,1.964S,16,13,1M 46.727S,2.575S,36,10,1M 48.109S,2.286S,23,2016,0
Felipe Massa MAS,12,0,Williams Mercedes,60,Singapore,2016-09-18,12,1M 46.056S,1M 44.991S,NA,11,14,1M 46.529S,2.177S,17,14,1M 46.856S,2.704S,30,9,1M 48.044S,2.221S,27,2016,0
Felipe Nasr NAS,13,0,Sauber Ferrari,60,Singapore,2016-09-18,18,1M 46.86S,NA,NA,8,17,1M 47.293S,2.941S,18,18,1M 47.531S,3.379S,29,15,1M 49.595S,3.772S,16,2016,0
Carlos Sainz SAI,14,0,Toro Rosso Ferrari,60,Singapore,2016-09-18,6,1M 45.499S,1M 44.493S,1M 44.197S,14,9,1M 45.879S,1.527S,17,8,1M 45.507S,1.355S,33,7,1M 46.936S,1.113S,28,2016,0
Jolyon Palmer PAL,15,0,Renault,60,Singapore,2016-09-18,19,1M 46.96S,NA,NA,9,20,1M 48.689S,4.337S,13,17,1M 47.166S,3.014S,34,17,1M 49.794S,3.971S,27,2016,0
Pascal Wehrlein WEH,16,0,MRT Mercedes,60,Singapore,2016-09-18,20,1M 47.667S,NA,NA,8,21,1M 49.201S,4.849S,10,21,1M 48.505S,4.353S,33,19,1M 51.112S,5.289S,23,2016,0
Marcus Ericsson ERI,17,0,Sauber Ferrari,60,Singapore,2016-09-18,16,1M 46.427S,1M 47.827S,NA,12,19,1M 47.956S,3.604S,20,20,1M 48.487S,4.335S,32,20,1M 51.479S,5.656S,16,2016,0
Esteban Ocon OCO,18,0,MRT Mercedes,59,Singapore,2016-09-18,21,1M 48.296S,NA,NA,9,22,1M 49.565S,5.213S,14,22,1M 48.823S,4.671S,29,21,1M 52.379S,6.556S,33,2016,0
Jenson Button BUT,NA,0,McLaren Honda,43,Singapore,2016-09-18,13,1M 45.262S,1M 45.144S,NA,13,16,1M 47.277S,2.925S,16,12,1M 46.574S,2.422S,30,16,1M 49.615S,3.792S,20,2016,0
Valtteri Bottas BOT,NA,0,Williams Mercedes,35,Singapore,2016-09-18,11,1M 46.086S,1M 44.74S,NA,11,10,1M 45.947S,1.595S,16,15,1M 46.96S,2.808S,30,14,1M 48.453S,2.63S,26,2016,0
Nico Hulkenberg HUL,NA,0,Force India Mercedes,0,Singapore,2016-09-18,8,1M 46.081S,1M 44.737S,1M 44.479S,17,6,1M 45.316S,0.964S,13,6,1M 45.182S,1.03S,35,13,1M 48.359S,2.536S,28,2016,0
Romain Grosjean GRO,NA,0,Haas Ferrari,0,Singapore,2016-09-18,15,1M 45.609S,1M 45.723S,NA,11,18,1M 47.411S,3.059S,20,19,1M 48.391S,4.239S,12,22,NA,0S,2,2016,0
Daniel Ricciardo RIC,1,25,Red Bull Racing TAG Heuer,56,Malaysia,2016-10-02,4,1M 35.079S,1M 33.888S,1M 33.467S,12,6,1M 35.461S,1.027S,22,8,1M 36.337S,1.393S,30,6,1M 36.753S,1.526S,27,2016,1
Max Verstappen VER,2,18,Red Bull Racing TAG Heuer,56,Malaysia,2016-10-02,3,1M 35.443S,1M 33.775S,1M 33.42S,15,2,1M 34.879S,0.445S,14,5,1M 36.037S,1.093S,29,7,1M 36.973S,1.746S,26,2016,0
Nico Rosberg ROS,3,15,Mercedes,56,Malaysia,2016-10-02,2,1M 34.46S,1M 33.609S,1M 33.264S,12,3,1M 35.053S,0.619S,16,2,1M 35.177S,0.233S,36,1,1M 35.227S,0S,25,2016,0
Kimi Räikkönen RAI,4,12,Ferrari,56,Malaysia,2016-10-02,6,1M 34.556S,1M 33.903S,1M 33.632S,16,4,1M 35.15S,0.716S,15,4,1M 35.842S,0.898S,31,3,1M 36.315S,1.088S,16,2016,0
Valtteri Bottas BOT,5,10,Williams Mercedes,56,Malaysia,2016-10-02,11,1M 35.166S,1M 34.577S,NA,9,8,1M 35.902S,1.468S,17,13,1M 37.016S,2.072S,37,12,1M 37.861S,2.634S,17,2016,0
Sergio Perez PER,6,8,Force India Mercedes,56,Malaysia,2016-10-02,7,1M 35.068S,1M 34.538S,1M 34.319S,17,11,1M 36.259S,1.825S,15,6,1M 36.284S,1.34S,33,9,1M 37.601S,2.374S,27,2016,0
Fernando Alonso ALO,7,6,McLaren Honda,56,Malaysia,2016-10-02,22,1M 37.155S,NA,NA,5,22,1M 41.199S,6.765S,15,7,1M 36.296S,1.352S,27,5,1M 36.51S,1.283S,18,2016,0
Nico Hulkenberg HUL,8,4,Force India Mercedes,56,Malaysia,2016-10-02,8,1M 34.827S,1M 34.441S,1M 34.489S,15,7,1M 35.776S,1.342S,16,9,1M 36.39S,1.446S,37,8,1M 37.513S,2.286S,26,2016,0
Jenson Button BUT,9,2,McLaren Honda,56,Malaysia,2016-10-02,9,1M 35.267S,1M 34.431S,1M 34.518S,17,12,1M 36.363S,1.929S,11,10,1M 36.715S,1.771S,22,10,1M 37.613S,2.386S,20,2016,0
Jolyon Palmer PAL,10,1,Renault,56,Malaysia,2016-10-02,19,1M 35.999S,NA,NA,8,14,1M 36.604S,2.17S,20,12,1M 36.94S,1.996S,36,19,1M 39.148S,3.921S,23,2016,0
Carlos Sainz SAI,11,0,Toro Rosso Ferrari,56,Malaysia,2016-10-02,16,1M 35.605S,1M 35.374S,NA,12,9,1M 36.222S,1.788S,18,11,1M 36.836S,1.892S,30,15,1M 38.055S,2.828S,25,2016,0
Marcus Ericsson ERI,12,0,Sauber Ferrari,55,Malaysia,2016-10-02,17,1M 35.816S,NA,NA,8,18,1M 36.765S,2.331S,19,17,1M 37.449S,2.505S,28,17,1M 38.313S,3.086S,20,2016,0
Felipe Massa MAS,13,0,Williams Mercedes,55,Malaysia,2016-10-02,10,1M 35.267S,1M 34.422S,1M 34.671S,13,10,1M 36.227S,1.793S,20,15,1M 37.11S,2.166S,19,18,1M 38.339S,3.112S,24,2016,0
Daniil Kvyat KVY,14,0,Toro Rosso Ferrari,55,Malaysia,2016-10-02,15,1M 35.695S,1M 35.369S,NA,12,17,1M 36.752S,2.318S,20,16,1M 37.297S,2.353S,29,11,1M 37.847S,2.62S,29,2016,0
Pascal Wehrlein WEH,15,0,MRT Mercedes,55,Malaysia,2016-10-02,21,1M 36.587S,NA,NA,9,21,1M 38.089S,3.655S,13,21,1M 37.878S,2.934S,34,21,1M 40.627S,5.4S,26,2016,0
Esteban Ocon OCO,16,0,MRT Mercedes,55,Malaysia,2016-10-02,20,1M 36.451S,NA,NA,9,20,1M 37.961S,3.527S,17,22,1M 37.99S,3.046S,36,20,1M 40.036S,4.809S,28,2016,0
Felipe Nasr NAS,NA,0,Sauber Ferrari,46,Malaysia,2016-10-02,18,1M 35.949S,NA,NA,8,19,1M 37.106S,2.672S,18,18,1M 37.547S,2.603S,26,16,1M 38.184S,2.957S,18,2016,0
Lewis Hamilton HAM,NA,0,Mercedes,40,Malaysia,2016-10-02,1,1M 34.444S,1M 33.046S,1M 32.85S,11,1,1M 34.434S,0S,16,1,1M 34.944S,0S,35,2,1M 35.721S,0.494S,25,2016,0
Esteban Gutierrez  GUT,NA,0,Haas Ferrari,39,Malaysia,2016-10-02,13,1M 35.658S,1M 35.097S,NA,14,13,1M 36.553S,2.119S,14,14,1M 37.048S,2.104S,28,14,1M 37.921S,2.694S,20,2016,0
Kevin Magnussen MAG,NA,0,Renault,17,Malaysia,2016-10-02,14,1M 35.593S,1M 35.277S,NA,13,16,1M 36.741S,2.307S,19,19,1M 37.664S,2.72S,19,22,NA,0S,2,2016,0
Romain Grosjean GRO,NA,0,Haas Ferrari,7,Malaysia,2016-10-02,12,1M 35.4S,1M 35.001S,NA,14,15,1M 36.687S,2.253S,15,20,1M 37.789S,2.845S,25,13,1M 37.886S,2.659S,22,2016,0
Sebastian Vettel VET,NA,0,Ferrari,0,Malaysia,2016-10-02,5,1M 34.557S,1M 33.972S,1M 33.584S,17,5,1M 35.17S,0.736S,14,3,1M 35.605S,0.661S,37,4,1M 36.331S,1.104S,18,2016,0
Nico Rosberg ROS,1,25,Mercedes,53,Japan,2016-10-09,1,1M 31.858S,1M 30.714S,1M 30.647S,13,1,1M 32.092S,0S,14,1,1M 32.25S,0S,35,1,1M 32.431S,0S,24,2016,1
Max Verstappen VER,2,18,Red Bull Racing TAG Heuer,53,Japan,2016-10-09,5,1M 32.487S,1M 31.489S,1M 31.178S,14,4,1M 32.784S,0.692S,9,4,1M 33.061S,0.811S,29,6,1M 34.379S,1.948S,26,2016,0
